2019 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [24310 04/07/2019 13:22:53      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","157","Capricornia","0","PRE_POLL","32878","UAPP","United Australia Party","STURGEON","Lindsay","8","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","62","62.630"
"QLD","157","Capricornia","0","PRE_POLL","32878","UAPP","United Australia Party","STURGEON","Lindsay","8","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","37","37.370"
"QLD","157","Capricornia","0","PRE_POLL","33121","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","PRATT","Grant","9","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","43","68.250"
"QLD","157","Capricornia","0","PRE_POLL","33121","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","PRATT","Grant","9","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","20","31.750"
"QLD","157","Capricornia","0","PROVISIONAL","0","","","First Preferences","","0","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","57","51.820"
"QLD","157","Capricornia","0","PROVISIONAL","0","","","First Preferences","","0","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","53","48.180"
"QLD","157","Capricornia","0","PROVISIONAL","33146","GRN","Queensland Greens","BAMBRICK","Paul","1","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","8","72.730"
"QLD","157","Capricornia","0","PROVISIONAL","33146","GRN","Queensland Greens","BAMBRICK","Paul","1","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","3","27.270"
"QLD","157","Capricornia","0","PROVISIONAL","32617","KAP","Katter's Australian Party (KAP)","BIRKBECK","George","2","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","7","63.640"
"QLD","157","Capricornia","0","PROVISIONAL","32617","KAP","Katter's Australian Party (KAP)","BIRKBECK","George","2","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","4","36.360"
"QLD","157","Capricornia","0","PROVISIONAL","33246","DLP","Democratic Labour Party","TEMPLE","Richard","3","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","0","0.000"
"QLD","157","Capricornia","0","PROVISIONAL","33246","DLP","Democratic Labour Party","TEMPLE","Richard","3","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","3","100.000"
"QLD","157","Capricornia","0","PROVISIONAL","28347","IND","Independent","MURRAY","Ken","4","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","2","40.000"
"QLD","157","Capricornia","0","PROVISIONAL","28347","IND","Independent","MURRAY","Ken","4","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","3","60.000"
"QLD","157","Capricornia","0","PROVISIONAL","32719","ON","Pauline Hanson's One Nation","ROTHERY","Wade","7","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","32","64.000"
"QLD","157","Capricornia","0","PROVISIONAL","32719","ON","Pauline Hanson's One Nation","ROTHERY","Wade","7","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","18","36.000"
"QLD","157","Capricornia","0","PROVISIONAL","32878","UAPP","United Australia Party","STURGEON","Lindsay","8","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","5","55.560"
"QLD","157","Capricornia","0","PROVISIONAL","32878","UAPP","United Australia Party","STURGEON","Lindsay","8","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","4","44.440"
"QLD","157","Capricornia","0","PROVISIONAL","33121","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","PRATT","Grant","9","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","6","75.000"
"QLD","157","Capricornia","0","PROVISIONAL","33121","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","PRATT","Grant","9","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","2","25.000"
"QLD","157","Capricornia","5208","Allenstown","0","","","First Preferences","","0","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","356","47.590"
"QLD","157","Capricornia","5208","Allenstown","0","","","First Preferences","","0","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","392","52.410"
"QLD","157","Capricornia","5208","Allenstown","33146","GRN","Queensland Greens","BAMBRICK","Paul","1","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","76","70.370"
"QLD","157","Capricornia","5208","Allenstown","33146","GRN","Queensland Greens","BAMBRICK","Paul","1","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","32","29.630"
"QLD","157","Capricornia","5208","Allenstown","32617","KAP","Katter's Australian Party (KAP)","BIRKBECK","George","2","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","20","55.560"
"QLD","157","Capricornia","5208","Allenstown","32617","KAP","Katter's Australian Party (KAP)","BIRKBECK","George","2","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","16","44.440"
"QLD","157","Capricornia","5208","Allenstown","33246","DLP","Democratic Labour Party","TEMPLE","Richard","3","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","20","55.560"
"QLD","157","Capricornia","5208","Allenstown","33246","DLP","Democratic Labour Party","TEMPLE","Richard","3","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","16","44.440"
"QLD","157","Capricornia","5208","Allenstown","28347","IND","Independent","MURRAY","Ken","4","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","14","36.840"
"QLD","157","Capricornia","5208","Allenstown","28347","IND","Independent","MURRAY","Ken","4","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","24","63.160"
"QLD","157","Capricornia","5208","Allenstown","32719","ON","Pauline Hanson's One Nation","ROTHERY","Wade","7","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","79","37.260"
"QLD","157","Capricornia","5208","Allenstown","32719","ON","Pauline Hanson's One Nation","ROTHERY","Wade","7","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","133","62.740"
"QLD","157","Capricornia","5208","Allenstown","32878","UAPP","United Australia Party","STURGEON","Lindsay","8","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","21","42.000"
"QLD","157","Capricornia","5208","Allenstown","32878","UAPP","United Australia Party","STURGEON","Lindsay","8","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","29","58.000"
"QLD","157","Capricornia","5208","Allenstown","33121","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","PRATT","Grant","9","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","12","40.000"
"QLD","157","Capricornia","5208","Allenstown","33121","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","PRATT","Grant","9","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","18","60.000"
"QLD","157","Capricornia","5217","Berserker","0","","","First Preferences","","0","33201","LNP","Liberal National Party of Queensland","LANDRY","Michelle","5","343","42.450"
"QLD","157","Capricornia","5217","Berserker","0","","","First Preferences","","0","32781","ALP","Australian Labor Party (State of Queensland)","ROBERTSON","Russell","6","465","57.550"
