2019 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [24310 04/07/2019 13:22:53      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","311","Flynn","0","PRE_POLL","33272","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","HIESLER","Marcus John","7","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","26","29.890"
"QLD","311","Flynn","0","PROVISIONAL","0","","","First Preferences","","0","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","44","47.830"
"QLD","311","Flynn","0","PROVISIONAL","0","","","First Preferences","","0","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","48","52.170"
"QLD","311","Flynn","0","PROVISIONAL","32925","UAPP","United Australia Party","HARRIS","Nathan David","2","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","3","50.000"
"QLD","311","Flynn","0","PROVISIONAL","32925","UAPP","United Australia Party","HARRIS","Nathan David","2","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","3","50.000"
"QLD","311","Flynn","0","PROVISIONAL","33192","GRN","Queensland Greens","BAKER","Jaiben","3","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","2","25.000"
"QLD","311","Flynn","0","PROVISIONAL","33192","GRN","Queensland Greens","BAKER","Jaiben","3","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","6","75.000"
"QLD","311","Flynn","0","PROVISIONAL","33458","IND","Independent","PETERSON","Murray","4","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","2","50.000"
"QLD","311","Flynn","0","PROVISIONAL","33458","IND","Independent","PETERSON","Murray","4","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","2","50.000"
"QLD","311","Flynn","0","PROVISIONAL","32555","ON","Pauline Hanson's One Nation","LOHSE","Sharon","5","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","47","67.140"
"QLD","311","Flynn","0","PROVISIONAL","32555","ON","Pauline Hanson's One Nation","LOHSE","Sharon","5","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","23","32.860"
"QLD","311","Flynn","0","PROVISIONAL","17322","IND","Independent","SCOTT","Duncan George","6","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","1","50.000"
"QLD","311","Flynn","0","PROVISIONAL","17322","IND","Independent","SCOTT","Duncan George","6","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","1","50.000"
"QLD","311","Flynn","0","PROVISIONAL","33272","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","HIESLER","Marcus John","7","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","4","100.000"
"QLD","311","Flynn","0","PROVISIONAL","33272","FACN","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","HIESLER","Marcus John","7","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","0","0.000"
"QLD","311","Flynn","5210","Alton Downs","0","","","First Preferences","","0","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","62","20.810"
"QLD","311","Flynn","5210","Alton Downs","0","","","First Preferences","","0","33242","LNP","Liberal National Party of Queensland","O'DOWD","Ken","8","236","79.190"
"QLD","311","Flynn","5210","Alton Downs","32925","UAPP","United Australia Party","HARRIS","Nathan David","2","32942","ALP","Australian Labor Party (State of Queensland)","BEERS","Zac","1","1","10.000"
