2019 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-21T21:50:40 Cycle:b6ece63c-59a4-4b66-af5f-7bce769e872a Created:2019-05-21T21:49:17 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,102,Fenner,G,9998,0,Unapportioned,Australian Labor Party,ALP,N,N,30157,0,0,0,0,30157
ACT,102,Fenner,UG,1,33618,"HOUSTON, Nick",Independent,IND,N,N,241,0,0,0,0,241
ACT,102,Fenner,UG,2,32090,"COWTON, Gary",Independent,IND,N,N,156,0,0,0,0,156
ACT,102,Fenner,UG,3,33651,"KIM, David",Christian Democratic Party (Fred Nile Group),CDP,N,N,394,0,0,0,0,394
NSW,103,Banks,A,0,33821,A Ticket Votes,Rise Up Australia Party,RUA,N,N,133,0,0,0,0,133
NSW,103,Banks,A,1,33408,"NICHOLS, Maree",Rise Up Australia Party,RUA,N,N,0,0,0,0,0,0
NSW,103,Banks,A,2,33412,"SHIGROV, Vladimir",Rise Up Australia Party,RUA,N,N,0,0,0,0,0,0
NSW,103,Banks,A,3,33418,"TOOP, Leo",Rise Up Australia Party,RUA,N,N,0,0,0,0,0,0
NSW,103,Banks,A,9998,0,Unapportioned,Rise Up Australia Party,RUA,N,N,356,0,0,0,0,356
NSW,103,Banks,B,0,33823,B Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,HMP,N,N,195,0,0,0,0,195
NSW,103,Banks,B,1,33634,"KATELARIS, Andrew",Help End Marijuana Prohibition (HEMP) Party,HMP,N,N,0,0,0,0,0,0
NSW,103,Banks,B,2,33636,"BALDERSTONE, Michael",Help End Marijuana Prohibition (HEMP) Party,HMP,N,N,0,0,0,0,0,0
NSW,103,Banks,B,9998,0,Unapportioned,Help End Marijuana Prohibition (HEMP) Party,HMP,N,N,898,0,0,0,0,898
NSW,103,Banks,C,0,33809,C Ticket Votes,Health Australia Party,NMP,N,N,78,0,0,0,0,78
NSW,103,Banks,C,1,32981,"KNIGHT, Molly",Health Australia Party,NMP,N,N,0,0,0,0,0,0
NSW,103,Banks,C,2,32994,"FAIRBAIRN, Jason",Health Australia Party,NMP,N,N,0,0,0,0,0,0
NSW,103,Banks,C,9998,0,Unapportioned,Health Australia Party,NMP,N,N,232,0,0,0,0,232
NSW,103,Banks,D,0,33813,D Ticket Votes,Liberal & Nationals,LPNP,N,N,7944,0,0,0,0,7944
NSW,103,Banks,D,1,33033,"HUGHES, Hollie",Liberal,LP,N,N,0,0,0,0,0,0
NSW,103,Banks,D,2,33051,"BRAGG, Andrew",Liberal,LP,N,N,0,0,0,0,0,0
NSW,103,Banks,D,3,33055,"DAVEY, Perin",The Nationals,NP,N,N,0,0,0,0,0,0
NSW,103,Banks,D,4,33058,"MOLAN, Jim",Liberal,LP,N,Y,0,0,0,0,0,0
NSW,103,Banks,D,5,33071,"FARRAWAY, Sam",The Nationals,NP,N,N,0,0,0,0,0,0
NSW,103,Banks,D,6,33062,"FENELEY, Michael",Liberal,LP,N,N,0,0,0,0,0,0
NSW,103,Banks,D,9998,0,Unapportioned,Liberal & Nationals,LPNP,N,N,24178,0,0,0,0,24178
NSW,103,Banks,E,0,33822,E Ticket Votes,Pirate Party,PIR,N,N,38,0,0,0,0,38
NSW,103,Banks,E,1,33544,"AUGUST, John",Pirate Party,PIR,N,N,0,0,0,0,0,0
NSW,103,Banks,E,2,33546,"JOYCE, Sara",Pirate Party,PIR,N,N,0,0,0,0,0,0
NSW,103,Banks,E,9998,0,Unapportioned,Pirate Party,PIR,N,N,173,0,0,0,0,173
NSW,103,Banks,F,0,33797,F Ticket Votes,Affordable Housing Party,AAHP,N,N,49,0,0,0,0,49
NSW,103,Banks,F,1,32180,"POTTS, Andrew",Affordable Housing Party,AAHP,N,N,0,0,0,0,0,0
NSW,103,Banks,F,2,32182,"ZIEBELL, Anthony John",Affordable Housing Party,AAHP,N,N,0,0,0,0,0,0
NSW,103,Banks,F,9998,0,Unapportioned,Affordable Housing Party,AAHP,N,N,178,0,0,0,0,178
NSW,103,Banks,G,0,33800,G Ticket Votes,The Greens,GRN,N,N,747,0,0,0,0,747
NSW,103,Banks,G,1,32442,"FARUQI, Mehreen",The Greens,GRN,N,Y,0,0,0,0,0,0
NSW,103,Banks,G,2,32448,"JACOBS, Rachael",The Greens,GRN,N,N,0,0,0,0,0,0
NSW,103,Banks,G,3,32456,"STEER, Louise",The Greens,GRN,N,N,0,0,0,0,0,0
NSW,103,Banks,G,4,32457,"CLARK, Philippa",The Greens,GRN,N,N,0,0,0,0,0,0
NSW,103,Banks,G,5,32460,"CHIA, Roz",The Greens,GRN,N,N,0,0,0,0,0,0
NSW,103,Banks,G,6,32462,"ELLSMORE, Sylvie",The Greens,GRN,N,N,0,0,0,0,0,0
NSW,103,Banks,G,9998,0,Unapportioned,The Greens,GRN,N,N,3902,0,0,0,0,3902
