"State_Cd","PVA_Web_1_Party_Div","AEC - OPVA","AEC - Paper","ALP","CLP","GPV","GRN","LIB","LNP","NAT","OTH","PVA_Web_2_Date_Div","20160509","20160510","20160511","20160512","20160513","20160514","20160515","20160516","20160517","20160518","20160519","20160520","20160521","20160522","20160523","20160524","20160525","20160526","20160527","20160528","20160529","20160530","20160531","20160601","20160602","20160603","20160604","20160605","20160606","20160607","20160608","20160609","20160610","20160611","20160612","20160613","20160614","20160615","20160616","20160617","20160618","20160619","20160620","20160621","20160622","20160623","20160624","20160625","20160626","20160627","20160628","20160629","20160630","20160701"
"NSW","NEWCASTLE",3993,151,2,,3222,1,31,5,11,8,"NEWCASTLE",,,,,,,,,,,,,,,,,,,,3222,,236,612,127,80,60,60,57,116,93,105,89,81,51,52,84,172,221,177,178,74,107,168,117,229,244,179,49,36,99,106,129,10,4
"NSW","NORTH SYDNEY",6413,127,11,,2139,,3989,4,2,9,"NORTH SYDNEY",,,,,,,,,,,,,,,,,,,,2139,,732,1486,1779,519,457,381,176,300,526,313,149,129,54,52,107,538,304,298,206,88,124,277,273,313,259,174,64,78,130,112,116,38,3
"NSW","PAGE",3032,102,3,,1583,,14,11,1615,13,"PAGE",,,,,,,,,,,,,,,,,,,,1583,,129,720,150,128,115,278,95,186,126,103,54,526,129,41,129,167,90,191,202,37,72,158,209,153,194,163,10,23,88,42,62,14,6
"NSW","PARKES",3028,155,1,,2870,,18,13,941,27,"PARKES",,,,,,,,,,,,,,,,,,,,2870,,98,571,44,120,150,49,217,80,265,179,48,138,12,21,29,201,147,182,107,40,74,181,158,131,332,216,38,15,139,115,82,4,
"NSW","PARRAMATTA",5128,226,,,1976,,120,4,2,4,"PARRAMATTA",,,,,,,,,,,,,,,,,,,,1976,,241,614,162,99,183,57,54,146,147,184,116,104,28,28,87,266,301,231,232,109,111,219,211,270,397,293,102,66,212,132,71,9,2
"NSW","PATERSON",2974,122,4,1,1878,,2796,7,5,14,"PATERSON",,,,,,,,,,,,,,,,,,,,1878,,307,525,1192,488,424,176,104,160,183,196,74,50,53,15,82,277,131,108,80,47,56,199,141,157,240,127,29,31,85,87,85,12,2
"NSW","REID",5197,115,7,,1670,,2849,5,1,9,"REID",,,,,,,,,,,,,,,,,,,,1670,,488,1085,1136,448,643,175,104,309,227,300,169,154,78,35,80,281,274,219,197,93,115,190,260,217,258,184,80,49,135,95,74,28,3
"NSW","RICHMOND",3479,12,2,1,1384,,13,31,2523,92,"RICHMOND",,,,,,,,,,,,,,,,,,,,1384,,301,761,152,96,95,74,764,272,487,330,153,80,20,39,42,415,164,114,149,46,82,172,211,140,245,205,19,27,146,262,79,8,3
"NSW","RIVERINA",3945,132,5,,1512,,58,4,19,10,"RIVERINA",,,,,,,,,,,,,,,,,,,,1512,,127,588,96,41,64,60,64,123,168,331,56,133,25,22,41,254,140,136,136,32,76,305,86,198,371,184,15,18,89,73,103,11,7
"NSW","ROBERTSON",3540,146,4,,1927,,2734,4,10,11,"ROBERTSON",,,,,,,,,,,,,,,,,,,,1927,,291,696,509,488,313,317,138,190,131,261,70,82,74,33,173,384,294,388,151,49,62,180,158,210,289,120,25,34,108,93,99,36,3
"NSW","SHORTLAND",3802,178,,2,3118,,31,3,5,10,"SHORTLAND",,,,,,,,,,,,,,,,,,,,3118,,168,516,141,131,72,69,80,119,74,138,92,104,37,40,85,186,192,145,155,57,71,172,92,222,246,228,36,35,88,113,115,10,2
"NSW","SYDNEY",6660,144,866,,2121,,116,4,4,12,"SYDNEY",,,,,,,,,,,,,,,,,,,,2121,,413,974,190,112,119,63,86,171,203,190,209,145,88,91,179,327,452,438,393,137,148,581,412,427,406,273,127,75,135,125,81,28,8
"NSW","WARRINGAH",5317,114,5,,1618,1,2919,7,5,11,"WARRINGAH",,,,,,,,,,,,,,,,,,,,1618,,578,1142,1371,369,274,185,126,174,191,529,258,126,51,41,90,431,267,238,209,77,125,242,246,234,229,128,36,37,119,90,101,62,3
"NSW","WATSON",4180,164,2,,1657,,128,1,2,6,"WATSON",,,,,,,,,,,,,,,,,,,,1657,,173,519,177,78,131,42,64,144,119,136,96,90,26,36,63,181,242,234,181,61,97,193,175,220,275,224,74,61,137,129,86,18,1
"NSW","WENTWORTH",6065,170,17,,2501,1,4046,3,3,20,"WENTWORTH",,,,,,,,,,,,,,,,,,,,2501,,636,1365,1847,446,286,221,170,156,234,288,129,100,76,55,304,489,469,408,440,160,152,374,230,267,268,215,84,59,130,118,90,50,9
"NSW","WERRIWA",4132,86,4,,1645,,58,1,1,9,"WERRIWA",,,,,,,,,,,,,,,,,,,,1645,,204,501,162,94,84,35,61,92,76,98,69,50,21,27,58,245,304,262,181,85,105,247,172,210,266,155,48,55,115,91,98,18,2
"NSW","WHITLAM",3526,8,1,,1790,,50,4,4,191,"WHITLAM",,,,,,,,,,,,,,,,,,,,1790,,137,415,80,66,68,44,43,151,100,151,111,157,37,19,23,346,243,158,165,50,74,185,94,148,221,184,11,28,57,110,91,15,2
