2019 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:54 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,FromCandidateID,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateID,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
NSW,107,Blaxland,33471,CDP,Christian Democratic Party (Fred Nile Group),ROWE,Veronica,1,32645,ALP,Labor,CLARE,Jason,3,951,22.79
NSW,107,Blaxland,33471,CDP,Christian Democratic Party (Fred Nile Group),ROWE,Veronica,1,33320,LP,Liberal,GUNEY,Oz,2,3222,77.21
NSW,107,Blaxland,32806,UAPP,United Australia Party,ASHRAF,Nadeem,4,32645,ALP,Labor,CLARE,Jason,3,1157,49.7
NSW,107,Blaxland,32806,UAPP,United Australia Party,ASHRAF,Nadeem,4,33320,LP,Liberal,GUNEY,Oz,2,1171,50.3
NSW,107,Blaxland,32612,GRN,The Greens,ROONEY,James,5,32645,ALP,Labor,CLARE,Jason,3,3502,80.9
NSW,107,Blaxland,32612,GRN,The Greens,ROONEY,James,5,33320,LP,Liberal,GUNEY,Oz,2,827,19.1
NSW,108,Bradfield,0,,,First Preferences,,0,32658,ALP,Labor,HAVILAND,Chris,5,20361,25.98
NSW,108,Bradfield,0,,,First Preferences,,0,33227,LP,Liberal,FLETCHER,Paul,2,58007,74.02
NSW,108,Bradfield,32639,GRN,The Greens,ADAMS,Tony,1,32658,ALP,Labor,HAVILAND,Chris,5,10098,76.63
NSW,108,Bradfield,32639,GRN,The Greens,ADAMS,Tony,1,33227,LP,Liberal,FLETCHER,Paul,2,3079,23.37
NSW,108,Bradfield,32798,UAPP,United Australia Party,VERSACE,Marcus,3,32658,ALP,Labor,HAVILAND,Chris,5,384,21.67
NSW,108,Bradfield,32798,UAPP,United Australia Party,VERSACE,Marcus,3,33227,LP,Liberal,FLETCHER,Paul,2,1388,78.33
NSW,108,Bradfield,32703,SPP,Sustainable Australia,MOLLOY,Stephen,4,32658,ALP,Labor,HAVILAND,Chris,5,1303,46.11
NSW,108,Bradfield,32703,SPP,Sustainable Australia,MOLLOY,Stephen,4,33227,LP,Liberal,FLETCHER,Paul,2,1523,53.89
NSW,109,Calare,0,,,First Preferences,,0,32494,NP,The Nationals,GEE,Andrew,5,46632,66.9
NSW,109,Calare,0,,,First Preferences,,0,32711,ALP,Labor,JENNINGS,Jess,3,23074,33.1
NSW,109,Calare,32259,ASP,"Shooters, Fishers and Farmers",ROMANO,Sam,1,32494,NP,The Nationals,GEE,Andrew,5,9971,55
NSW,109,Calare,32259,ASP,"Shooters, Fishers and Farmers",ROMANO,Sam,1,32711,ALP,Labor,JENNINGS,Jess,3,8158,45
NSW,109,Calare,33476,CDP,Christian Democratic Party (Fred Nile Group),CHEN,Shuyi,2,32494,NP,The Nationals,GEE,Andrew,5,1563,78.46
NSW,109,Calare,33476,CDP,Christian Democratic Party (Fred Nile Group),CHEN,Shuyi,2,32711,ALP,Labor,JENNINGS,Jess,3,429,21.54
NSW,109,Calare,32850,UAPP,United Australia Party,CAMERON,Beverley T.,4,32494,NP,The Nationals,GEE,Andrew,5,2354,69.83
NSW,109,Calare,32850,UAPP,United Australia Party,CAMERON,Beverley T.,4,32711,ALP,Labor,JENNINGS,Jess,3,1017,30.17
NSW,109,Calare,32787,LDP,Liberal Democrats,BISGROVE,Stephen,6,32494,NP,The Nationals,GEE,Andrew,5,3864,80.92
NSW,109,Calare,32787,LDP,Liberal Democrats,BISGROVE,Stephen,6,32711,ALP,Labor,JENNINGS,Jess,3,911,19.08
NSW,109,Calare,32591,GRN,The Greens,LUKE,Stephanie,7,32494,NP,The Nationals,GEE,Andrew,5,1622,25.68
NSW,109,Calare,32591,GRN,The Greens,LUKE,Stephanie,7,32711,ALP,Labor,JENNINGS,Jess,3,4693,74.32
NSW,111,Chifley,0,,,First Preferences,,0,32680,ALP,Labor,HUSIC,Ed,6,49418,66.04
NSW,111,Chifley,0,,,First Preferences,,0,33181,LP,Liberal,CHETTIPALLY,Livingston,5,25411,33.96
NSW,111,Chifley,33498,CDP,Christian Democratic Party (Fred Nile Group),GREEN,Josh,1,32680,ALP,Labor,HUSIC,Ed,6,1648,28.13
NSW,111,Chifley,33498,CDP,Christian Democratic Party (Fred Nile Group),GREEN,Josh,1,33181,LP,Liberal,CHETTIPALLY,Livingston,5,4211,71.87
NSW,111,Chifley,24190,IND,Independent,KHAN,Ammar Aziz,2,32680,ALP,Labor,HUSIC,Ed,6,854,54.02
NSW,111,Chifley,24190,IND,Independent,KHAN,Ammar Aziz,2,33181,LP,Liberal,CHETTIPALLY,Livingston,5,727,45.98
NSW,111,Chifley,32827,UAPP,United Australia Party,O'CONNOR,Joseph Oscar,3,32680,ALP,Labor,HUSIC,Ed,6,1573,38.06
NSW,111,Chifley,32827,UAPP,United Australia Party,O'CONNOR,Joseph Oscar,3,33181,LP,Liberal,CHETTIPALLY,Livingston,5,2560,61.94
