2016 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:43 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,65742,Parkes PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,0,0
ACT,101,Canberra,8784,Pearce,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1509,-0.13
ACT,101,Canberra,8784,Pearce,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,1006,0.13
ACT,101,Canberra,8785,Red Hill,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1209,-1.21
ACT,101,Canberra,8785,Red Hill,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,1021,1.21
ACT,101,Canberra,8786,Richardson,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,943,3.66
ACT,101,Canberra,8786,Richardson,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,534,-3.66
ACT,101,Canberra,32712,Special Hospital Team 1,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,112,5.39
ACT,101,Canberra,32712,Special Hospital Team 1,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,105,-5.39
ACT,101,Canberra,58810,Special Hospital Team 2,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,102,7.43
ACT,101,Canberra,58810,Special Hospital Team 2,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,87,-7.43
ACT,101,Canberra,58811,Special Hospital Team 3,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,88,4.04
ACT,101,Canberra,58811,Special Hospital Team 3,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,86,-4.04
ACT,101,Canberra,66154,Special Hospital Team 4,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,345,17.62
ACT,101,Canberra,66154,Special Hospital Team 4,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,196,-17.62
ACT,101,Canberra,8788,Tharwa,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,64,-1.75
ACT,101,Canberra,8788,Tharwa,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,70,1.75
ACT,101,Canberra,11878,Theodore,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,986,4.71
