2016 Federal Election House of Representatives Two Party Preferred By Division [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:48 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Perth,245,WA,,39029,46.67,44602,53.33,83631,-1.15
Petrie,175,QLD,,47926,51.65,44867,48.35,92793,1.12
Port Adelaide,189,SA,ALP,28890,30.09,67119,69.91,96009,-5.89
Rankin,176,QLD,,33061,38.7,52362,61.3,85423,-6.52
Reid,144,NSW,,49543,54.69,41054,45.31,90597,1.36
Richmond,145,NSW,,45306,46.04,53092,53.96,98398,-2.38
Riverina,250,NSW,,65719,66.44,33201,33.56,98920,-2.55
Robertson,146,NSW,,48728,51.14,46549,48.86,95277,-1.95
Ryan,177,QLD,,55994,59.09,38770,40.91,94764,0.55
Scullin,232,VIC,,31309,32.72,64369,67.28,95678,-2.93
Shortland,148,NSW,,39277,40.06,58761,59.94,98038,-2.54
Solomon,307,NT,,24019,44,30566,56,54585,-7.4
Stirling,246,WA,,46520,56.12,36371,43.88,82891,-2.85
Sturt,190,SA,,51998,55.89,41034,44.11,93032,-4.19
Swan,247,WA,,43625,53.59,37777,46.41,81402,-3.75
Sydney,149,NSW,,30490,34.69,57410,65.31,87900,-2.44
Tangney,248,WA,,51029,61.07,32536,38.93,83565,-1.95
Wakefield,191,SA,,37439,39.03,58494,60.97,95933,-7.57
Wannon,233,VIC,,52625,58.96,36630,41.04,89255,-1.11
Warringah,151,NSW,LP,52948,61.09,33718,38.91,86666,-4.23
Watson,251,NSW,,26989,32.42,56247,67.58,83236,-8.76
Wentworth,152,NSW,,56971,67.75,27121,32.25,84092,-1.17
Werriwa,153,NSW,,37356,41.8,52005,58.2,89361,-1.67
Whitlam,150,NSW,,35711,36.28,62730,63.72,98441,-6.81
Wide Bay,178,QLD,,52264,58.14,37625,41.86,89889,-5.02
Wills,234,VIC,ALP,23638,28.06,60609,71.94,84247,-1.18
Wright,316,QLD,,52651,59.62,35667,40.38,88318,-2.22
