2019 Federal Election House of Representatives Two Party Preferred By Division [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-22T21:50:21 Cycle:85365308-4295-4370-8e23-05d88256d096 Created:2019-05-22T21:48:30 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Petrie,175,QLD,,49998,58.09,36077,41.91,86075,6.44
Rankin,176,QLD,,31407,42.81,41955,57.19,73362,4.11
Reid,144,NSW,,43280,53.44,37701,46.56,80981,-1.25
Richmond,145,NSW,,42952,46.44,49529,53.56,92481,0.4
Riverina,250,NSW,,65404,69.65,28502,30.35,93906,3.21
Robertson,146,NSW,,46236,54.29,38932,45.71,85168,3.15
Ryan,177,QLD,,44149,55.82,34948,44.18,79097,-3.16
Scullin,232,VIC,,21043,27.98,54170,72.02,75213,-2.44
Shortland,148,NSW,,41580,45.87,49060,54.13,90640,5.81
Solomon,307,NT,,23082,46.8,26243,53.2,49325,2.89
Spence,325,SA,,30729,35.42,56016,64.58,86745,2.59
Stirling,246,WA,,37530,55.53,30059,44.47,67589,-0.59
Sturt,190,SA,,51136,56.79,38908,43.21,90044,1.4
Swan,247,WA,,36230,52.28,33075,47.72,69305,-1.31
Sydney,149,NSW,,23851,30.9,53342,69.1,77193,-3.79
Tangney,248,WA,,44377,61.93,27285,38.07,71662,0.86
Wannon,233,VIC,,56278,60.8,36291,39.2,92569,1.65
Warringah,151,NSW,,0,0,0,0,0,-61.09
Watson,251,NSW,,26498,36.06,46985,63.94,73483,3.64
Wentworth,152,NSW,,0,0,0,0,0,-67.75
Werriwa,153,NSW,,36708,44,46712,56,83420,2.2
Whitlam,150,NSW,,37749,39.34,58201,60.66,95950,39.34
Wide Bay,178,QLD,,49809,62.83,29467,37.17,79276,4.64
Wills,234,VIC,,0,0,0,0,0,-28.33
Wright,316,QLD,,50832,64.43,28061,35.57,78893,4.81
